0,128111,002738,15.530,0.500,80000.0000,10.87,20.19,20201217,118.0000,20260611,,80000.000000,20200707
0,123054,300608,16.490,0.500,27100.0000,11.54,21.44,20201216,115.0000,20260610,,27100.000000,20200706
0,123052,300665,9.900,0.500,17700.0000,6.93,12.87,20201211,120.0000,20260605,,17700.000000,20200703
0,123053,300031,20.800,0.500,50000.0000,14.56,27.04,20201211,115.0000,20260605,,50000.000000,20200701
0,123051,300532,8.800,0.500,28000.0000,6.16,11.44,20201210,116.0000,20260604,,28000.000000,20200630
1,113584,603708,37.970,0.400,64500.0000,26.58,49.36,20201214,110.0000,20260605,,64500.000000,20200624
0,128109,002171,8.730,0.400,183000.0000,6.11,11.35,20201210,110.0000,20260604,,183000.000000,20200623
1,113582,603678,25.330,0.400,60000.0000,17.73,32.93,20201202,110.0000,20260527,,60000.000000,20200623
1,113583,603939,71.820,0.400,158101.0000,50.27,93.37,20201207,110.0000,20260601,,158101.000000,20200622
0,128108,002382,17.790,0.400,314404.0000,12.45,23.13,20201203,108.0000,20260528,,314404.000000,20200619
1,113035,601865,13.560,0.400,145000.0000,9.49,17.63,20201203,115.0000,20260527,,145000.000000,20200617
0,128107,002061,5.360,0.400,250000.0000,3.75,6.97,20201028,110.0000,20260422,128107,250000.000000,20200522
1,113579,603707,42.050,0.300,50319.0000,29.44,54.67,20201029,109.0000,20260423,191579,50319.000000,20200522
1,113573,603602,18.810,0.500,27000.0000,13.17,24.45,20201023,118.0000,20260417,191573,27000.000000,20200522
1,113580,603665,15.510,0.400,20000.0000,10.86,20.16,20201029,115.0000,20260423,191580,20000.000000,20200520
1,113578,603030,5.430,0.400,38400.0000,3.80,7.06,20201026,113.0000,20260420,191578,38400.000000,20200519
1,113581,603906,9.480,0.500,40000.0000,6.64,12.32,20201029,120.0000,20260423,191581,40000.000000,20200519
0,123050,300303,5.180,0.400,70469.0000,3.63,6.73,20201020,118.0000,20260414,123050,70448.170000,20200515
1,113577,603890,11.060,0.500,24000.0000,7.74,14.38,20201020,112.0000,20260414,191577,23285.310000,20200513
1,110070,600231,2.750,0.400,44000.0000,1.93,3.58,20201019,112.0000,20260413,190070,43997.600000,20200513
0,128105,002616,8.110,0.400,80000.0000,5.68,10.54,20201015,110.0000,20260409,128105,79997.470000,20200513
0,123049,300190,7.480,0.500,91724.0000,5.24,9.72,20201019,118.0000,20260413,123049,91707.600000,20200512
0,123048,300527,8.900,0.300,81893.0000,6.23,11.57,20201016,108.0000,20260410,123048,41644.110000,20200511
0,128106,002840,9.390,0.300,55000.0000,6.57,12.21,20201016,108.0000,20260410,128106,54996.350000,20200508
1,110069,600323,20.200,0.200,99232.0000,14.14,26.26,20201013,110.0000,20260407,190069,98359.210000,20200507
1,113576,603557,10.550,0.500,52000.0000,7.39,13.72,20201016,115.0000,20260410,191576,36506.840000,20200507
1,113575,603377,14.560,0.400,42800.0000,10.19,18.93,20201015,108.0000,20260409,191575,25080.680000,20200430
1,113034,601678,4.680,0.300,240000.0000,3.28,6.08,20201016,110.0000,20260410,191034,239973.510000,20200430
0,128104,002831,23.240,0.400,140000.0000,16.27,30.21,20201013,,20260407,128104,137129.960000,20200428
1,113574,603679,33.990,0.500,20880.0000,23.79,44.19,20201009,110.0000,20260331,191574,20879.900000,20200427
1,113033,601366,7.010,0.400,180000.0000,4.91,9.11,20201009,110.0000,20260401,191033,179993.600000,20200421
0,128103,002360,5.180,0.500,14428.0000,3.63,6.73,20201009,115.0000,20260326,128103,14418.290000,20200421
0,123046,300587,10.120,0.500,39900.0000,7.08,13.16,20200925,112.0000,20260319,123046,15473.760000,20200417
0,123047,300631,17.610,0.500,25400.0000,12.33,22.89,20200928,121.0000,20260320,123047,24663.960000,20200417
0,128102,002311,34.740,0.200,283000.0000,24.32,41.69,20200925,110.0000,20260319,128102,188139.120000,20200416
1,110068,600388,10.730,0.200,200000.0000,7.51,13.95,20200930,110.0000,20260324,190068,199993.100000,20200415
